ad;ca
ae;ar
af;fa
ag;eng
ai;eng
am;hy
ao;pt
ar;es
as;eng
at;de
au;eng
az;az
ba;bs
bd;bn
be;nl
bf;fra
bg;bg
bh;ar
bi;fra
bj;fra
bn;ms
bo;es
br;pt
bs;eng
bw;tn
by;be
bz;es
ca;eng
cat;ca
cd;fra
cf;fra
cg;fra
ch;fra
ci;fra
ck;eng
cl;es
cm;fra
cn;zh
co;es-
com;eng
cr;es
cu;es
cv;pt
cy;eng
cz;cs
d;en
de;de
dj;fra
dk;da
do;es
dz;fra
ec;es
ee;et
eg;ar
es;es
et;am
f;en
fi;fi
fj;eng
fr;fra
ga;fra
ge;ka
gg;eng
gh;eng
gi;eng
gl;da
gm;en
gp;fra
gr;el
gt;es
gy;eng
hk;zh
hn;es
hr;hr
ht;fra
hu;hu
id;id
ie;eng
il;ar
im;en
in;eng
iq;ckb
is;is
it;it
je;fra
jM;en
jo;ar
jp;ja
ke;sw
kg;ky
kh;km
ki;eng
kr;ko
kw;ar
kz;kk
la;lo
lb;ar
li;de
lk;eng
ls;st
lt;lt
lu;de
lv;lv
ly;ar
ma;fra
md;mo
me;sr
mg;mg
mk;mk
ml;fra
mn;mn
ms;eng
mt;mt
mu;eng
mv;eng
mw;ny
mx;es
my;ms
mz;pt
na;eng
ne;fra
nf;eng
ng;eng
ni;es
nl;nl
no;no
np;ne
nr;eng
nu;eng
nz;eng
om;ar
pa;es
pe;es
ph;tl
pk;eng
pl;pl
pn;eng
pr;es
ps;ar
pt;pt
py;es
qa;ar
ro;ro
rs;sr
ru;ru
rw;eng
sa;ar
sb;eng
sc;crs
se;sv
sg;eng
sh;eng
si;sl
sk;sk
sl;eng
sm;it
sn;fra
so;so
st;pt
sv;es
td;fra
tg;fra
th;th
tj;tg
tk;eng
tl;pt
tm;tk
tn;ar
to;eng
tr;tr
tt;eng
tw;zh
tz;sw
ua;uk
ug;lg
uk;eng
uy;es
uz;uz
vc;eng
ve;es
vg;eng
vi;eng
vn;vi
vu;eng
ws;eng
za;af
zm;eng
zw;eng
